domain,agency,organization,city,state,expires,status
HUDOIG.GOV,Department of Housing and Urban Development,Office of Inspector General,Washington,DC,07 Jun 19 13:34 EDT,Expires 3 months from now (07 Jun 19)
HUDSONCOUNTYNJ.GOV,Non-Federal Agency,Hudson County Executive's Office,Jersey City,NJ,13 Jun 23 15:02 EDT,"Error: x509: certificate is valid for *.hudsoncountynj.gov, not hudsoncountynj.gov"
HUDSONNH.GOV,Non-Federal Agency,Town of Hudson,Hudson,NH,22 Oct 20 14:12 EDT,Expires 2 years from now (22 Oct 20)
HUDUSER.GOV,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Washington,DC,01 Aug 19 13:54 EDT,Expires 5 months from now (01 Aug 19)
HUEYTOWNAL.GOV,Non-Federal Agency,City Of Hueytown,Hueytown,AL,27 Oct 18 20:00 EDT,Expired 3 months ago (27 Oct 18)
HULMEVILLE-PA.GOV,Non-Federal Agency,Hulmeville Borough,Hulmeville,PA,07 Apr 19 17:35 EDT,Expires 1 month from now (07 Apr 19)
HUMANITIES.GOV,National Endowment for the Humanities,National Endowment for the Humanities,Washington,DC,,dial tcp: lookup humanities.gov: no such host
HUMBLETX.GOV,Non-Federal Agency,City of Humble,Humble,TX,,dial tcp: i/o timeout
HUNTINGBURG-IN.GOV,Non-Federal Agency,City of Huntingburg,Huntingburg,IN,04 Apr 19 09:00 EDT,"Error: x509: certificate is valid for www.huntingburg-in.gov, not huntingburg-in.gov"
HUNTINGTONBEACHCA.GOV,Non-Federal Agency,City of Huntington Beach,Huntington Beach,CA,12 May 19 19:59 EDT,Expires 2 months from now (12 May 19)
HUNTINGTONNY.GOV,Non-Federal Agency,Town of Huntington,Huntington,NY,01 Jun 20 16:24 EDT,Expires 1 year from now (01 Jun 20)
HUNTSPOINT-WA.GOV,Non-Federal Agency,Town of Hunts Point,Hunts Point,WA,,EOF
HUNTSVILLEAL.GOV,Non-Federal Agency,City of Huntsville,Huntsville,AL,,dial tcp [2602:ffe2:99::115]:443: i/o timeout
HUNTSVILLETX.GOV,Non-Federal Agency,City of Huntsville,Huntsville,TX,09 Oct 19 19:59 EDT,Expires 7 months from now (09 Oct 19)
HURLOCK-MD.GOV,Non-Federal Agency,Town of Hurlock,Hurlock,MD,27 Oct 18 20:00 EDT,Expired 3 months ago (27 Oct 18)
HURONCOUNTY-OH.GOV,Non-Federal Agency,Huron County Commissioners,Norwalk,OH,28 Mar 20 08:00 EDT,"Error: x509: certificate is valid for secure.cros.net, not huroncounty-oh.gov"
HURONTOWNSHIP-MI.GOV,Non-Federal Agency,Huron Township,New Boston,MI,12 Jan 20 07:00 EST,"Error: x509: certificate is valid for rockford.mi.us, www.rockford.mi.us, not hurontownship-mi.gov"
HURRICANES.GOV,Department of Commerce,NOAA/National Hurricane Center,Miami,FL,,dial tcp [2610:20:8800:8c00::24]:443: i/o timeout
HURSTTX.GOV,Non-Federal Agency,City of Hurst,Hurst,TX,09 Nov 18 07:00 EST,Expired 3 months ago (09 Nov 18)
HUTTOTX.GOV,Non-Federal Agency,City of Hutto,Hutto,TX,,dial tcp: lookup huttotx.gov: no such host
HVLNC.GOV,Non-Federal Agency,City of Hendersonville,Hendersonville,NC,13 Apr 19 13:19 EDT,Expires 1 month from now (13 Apr 19)
HYDECOUNTYNC.GOV,Non-Federal Agency,Hyde County Local Govt.,Swanquarter,NC,22 Aug 19 19:59 EDT,Expires 6 months from now (22 Aug 19)
HYDROGEN.GOV,Department of Energy,Research and Special Programs Administration / Volpe,Washington,DC,30 Oct 19 09:18 EDT,Expires 8 months from now (30 Oct 19)
IA.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,"Error: x509: certificate is valid for *.iowa.gov, iowa.gov, not ia.gov"
IABLE.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,27 Jun 19 12:28 EDT,"Error: x509: certificate is valid for *.globalreach.com, globalreach.com, not iable.gov"
IAD.GOV,Department of Defense,National Security Agency,Fort Meade,MD,31 Jan 22 14:35 EST,"Error: x509: certificate is valid for www.iad.gov, ncmd-ufx05.iad.gov, www.cnss.gov, www.ioss.gov, not iad.gov"
IAF.GOV,Inter-American Foundation,Inter-American Foundation,Washington,DC,31 Mar 19 17:02 EDT,Expires 1 month from now (31 Mar 19)
IAHEALTHLINK.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,"Error: x509: certificate is valid for *.iowa.gov, iowa.gov, not iahealthlink.gov"
IARPA-IDEAS.GOV,Director of National Intelligence,Office of the Director of National Intelligence,Washington,DC,29 Apr 20 08:00 EDT,Expires 1 year from now (29 Apr 20)
IARPA.GOV,Director of National Intelligence,ODNI - IARPA,College Park,MD,03 Oct 19 08:00 EDT,Expires 7 months from now (03 Oct 19)
IASCHOOLPERFORMANCE.GOV,Non-Federal Agency,OCIO - State of Iowa,Des Moines,IA,29 Nov 20 10:13 EST,Expires 2 years from now (29 Nov 20)
IAT.GOV,Department of the Interior,Aviation Management Directorate,Boise,ID,,dial tcp: lookup iat.gov: no such host
IAVOTERS.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,,dial tcp: lookup iavoters.gov: no such host
IAWG.GOV,Department of State,Dept of State,Washington,DC,08 Nov 20 17:47 EST,Expires 2 years from now (08 Nov 20)
IBB.GOV,Broadcasting Board of Governors,BBG,Washington,DC,19 Apr 19 08:00 EDT,Expires 2 months from now (19 Apr 19)
IBWC.GOV,Department of State,International Boundary and Water Commission,El Paso,TX,30 Jan 20 14:22 EST,Expires 11 months from now (30 Jan 20)
IC.GOV,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,,dial tcp: lookup ic.gov: no such host
IC3.GOV,Department of Justice,Internet Crime Complaint Center,Fairmont,WV,08 Nov 19 07:00 EST,Expires 8 months from now (08 Nov 19)
ICBEMP.GOV,U.S. Department of Agriculture,US Forest Service- Pacific Northwest Research Station,Portland,OR,13 Dec 18 16:26 EST,Expired 2 months ago (13 Dec 18)
ICE.GOV,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Washington,DC,05 Feb 20 07:00 EST,Expires 11 months from now (05 Feb 20)
ICH.GOV,United States Interagency Council on Homelessness,United States Interagency Council on Homelessness,Washington,DC,18 Feb 19 07:00 EST,"Error: x509: certificate is valid for www.usich.gov, usich.gov, not ich.gov"
ICJOINTDUTY.GOV,Director of National Intelligence,Office of the Director of National Intelligence,Washington,DC,03 Oct 19 08:00 EDT,Expires 7 months from now (03 Oct 19)
ID.GOV,Non-Federal Agency,Idaho Department of Administration,Boise,ID,,dial tcp 164.165.67.10:443: i/o timeout
IDABEL-OK.GOV,Non-Federal Agency,City of Idabel,Idabel,OK,29 Apr 19 22:06 EDT,Expires 2 months from now (29 Apr 19)
IDAHO.GOV,Non-Federal Agency,State of Idaho,Boise,ID,07 Apr 20 08:00 EDT,Expires 1 year from now (07 Apr 20)
IDAHOFALLSIDAHO.GOV,Non-Federal Agency,City of Idaho Falls,Idaho Falls,ID,13 Apr 19 19:59 EDT,Expires 1 month from now (13 Apr 19)
IDAHOPREPARES.GOV,Non-Federal Agency,State of Idaho,Boise,ID,,dial tcp: lookup idahoprepares.gov: no such host
IDAHOVOTES.GOV,Non-Federal Agency,Idaho Secretary Of State,Boise,ID,01 May 19 19:59 EDT,Expires 2 months from now (01 May 19)
IDAHOWORKS.GOV,Non-Federal Agency,State of Idaho Department of Labor,Boise,ID,22 Apr 20 14:51 EDT,Expires 1 year from now (22 Apr 20)
IDEALAB.GOV,Department of Health and Human Services,Department of Health and Human Services,Washington,DC,01 Nov 19 08:00 EDT,"Error: x509: certificate is valid for hhs.gov, dhhs.gov, www.dhhs.gov, pandemicflu.gov, mentalhealth.gov, stopbullying.gov, usability.gov, guidelines.usability.gov, aging.gov, foodsafety.gov, betobaccofree.gov, therealcost.gov, freshempire.gov, vaccines.gov, fitness.gov, www.fitness.gov, globalhealth.gov, surgeongeneral.gov, www.surgeongeneral.gov, thisfreelife.gov, tobacco.gov, opioids.gov, not idealab.gov"
IDENTITYSANDBOX.GOV,General Services Administration,18F,Washington,DC,,dial tcp: lookup identitysandbox.gov: no such host
IDENTITYTHEFT.GOV,Federal Trade Commission,Federal Trade Commission,Washington,DC,31 Dec 69 19:00 EST,Error: dial tcp: lookup identitytheft.gov: no such host
IDMANAGEMENT.GOV,General Services Administration,General Services Administration,Washington,DC,14 May 19 08:00 EDT,Expires 2 months from now (14 May 19)
IDTHEFT.GOV,Federal Trade Commission,Federal Trade Commission,Washington,DC,31 Jan 20 07:00 EST,Expires 11 months from now (31 Jan 20)
IEDISON.GOV,Department of Health and Human Services,National Institutes of Health,Bethesda,MD,02 Dec 19 09:44 EST,Expires 9 months from now (02 Dec 19)
IGNET.GOV,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,09 May 20 08:51 EDT,Expires 1 year from now (09 May 20)
IHAVEAPLANIOWA.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,11 Dec 17 09:46 EST,Expired 1 year ago (11 Dec 17)
IHS.GOV,Department of Health and Human Services,Indian Health Service / Office of IT,Albuquerque,NM,31 Dec 19 16:08 EST,Expires 10 months from now (31 Dec 19)
IIPAYNATION-NSN.GOV,Indian Affairs,IIPay Nation,santa ysabel,CA,11 Dec 18 18:18 EST,Expired 2 months ago (11 Dec 18)
IL.GOV,Non-Federal Agency,State of Illinois,Springfield,IL,31 Dec 69 19:00 EST,Error: read tcp 192.168.1.211:55974->163.191.60.103:443: read: connection reset by peer
ILATTORNEYGENERAL.GOV,Non-Federal Agency,Illinois Attorney General,Chicago,IL,31 Dec 69 19:00 EST,Error: read tcp 192.168.1.211:55970->163.191.100.106:443: read: connection reset by peer
ILGA.GOV,Non-Federal Agency,Legislative Information System,Springfield,IL,,dial tcp 12.43.67.2:443: i/o timeout
ILLINOIS.GOV,Non-Federal Agency,State of Illinois,Springfield,IL,11 Sep 20 09:50 EDT,Expires 2 years from now (11 Sep 20)
ILLINOISATTORNEYGENERAL.GOV,Non-Federal Agency,Illinois Attorney General,Chicago,IL,,dial tcp 209.174.190.187:443: i/o timeout
ILLINOISCOMPTROLLER.GOV,Non-Federal Agency,State of Illinois Comptroller,Springfield,IL,10 Sep 20 12:30 EDT,Expires 2 years from now (10 Sep 20)
ILLINOISCOURTS.GOV,Non-Federal Agency,Administrative Office of the Illinois Courts,Springfield,IL,20 Oct 16 17:02 EDT,Expired 2 years ago (20 Oct 16)
ILLINOISRETIREMENT.GOV,Non-Federal Agency,Illinois State Treasurer's Office,Springfield,IL,14 Sep 19 12:09 EDT,"Error: x509: certificate is valid for illinoistreasurer.gov, www.illinoistreasurer.gov, not illinoisretirement.gov"
ILLINOISTREASURER.GOV,Non-Federal Agency,Illinois State Treasurer's Office,Springfield,IL,14 Sep 19 12:09 EDT,Expires 7 months from now (14 Sep 19)
ILSOS.GOV,Non-Federal Agency,Illinois Secretary of State,Springfield,IL,13 Feb 21 09:37 EST,Expires 2 years from now (13 Feb 21)
ILWACO-WA.GOV,Non-Federal Agency,City of Ilwaco,Ilwaco,WA,07 Apr 19 08:41 EDT,Expires 1 month from now (07 Apr 19)
IMLS.GOV,Institute of Museum and Library Services,IMLS,Washington,DC,01 Aug 19 15:13 EDT,Expires 5 months from now (01 Aug 19)
IMPERIALBEACHCA.GOV,Non-Federal Agency,City of Imperial Beach,Imperial Beach,CA,15 Mar 19 19:18 EDT,Expires 3 weeks from now (15 Mar 19)
IN.GOV,Non-Federal Agency,State of Indiana,Indianapolis,IN,29 Nov 19 18:59 EST,Expires 9 months from now (29 Nov 19)
INCOURTS.GOV,Non-Federal Agency,Indiana Office of Technology,Indianapolis,IN,,remote error: tls: alert(112)
INDEPENDENCEKS.GOV,Non-Federal Agency,"CITY OF INDEPENDENCE, KANSAS",INDEPENDENCE,KS,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
INDEPENDENCEMO.GOV,Non-Federal Agency,City of Independence Missouri,Independence,MO,,dial tcp 207.193.36.1:443: i/o timeout
INDIANA.GOV,Non-Federal Agency,Indiana Interactive,Indianapolis,IN,29 Nov 19 18:59 EST,"Error: x509: certificate is valid for in.gov, www.in.gov, not indiana.gov"
INDIANACOUNTYPA.GOV,Non-Federal Agency,County of Indiana,Indiana,PA,18 Mar 19 11:48 EDT,Expires 4 weeks from now (18 Mar 19)
INDIANAFFAIRS.GOV,Department of the Interior,Bureau of Indian Affairs,Reston,VA,30 Apr 21 09:44 EDT,Expires 2 years from now (30 Apr 21)
INDIANAMOTORSPORTS.GOV,Non-Federal Agency,State of Indiana - Indiana Office of Technology,Indianapolis,IN,,dial tcp: i/o timeout
INDIANAPOLIS-IN.GOV,Non-Federal Agency,"Information Services Agency, City of Indianapolis/ Marion County",Indianapolis,IN,10 Mar 19 08:00 EDT,"Error: x509: certificate is valid for *.indy.gov, indy.gov, not indianapolis-in.gov"
INDIANAUNCLAIMED.GOV,Non-Federal Agency,Indiana Office of the Attorney General,Indianapolis,IN,01 Apr 20 19:59 EDT,Expires 1 year from now (01 Apr 20)
INDIANHEADPARK-IL.GOV,Non-Federal Agency,Village of Indian Head Park,Indian Head Park,IL,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
INDIANOLAIOWA.GOV,Non-Federal Agency,City of Indianola,Indianola,IA,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
INDIANOLAMS.GOV,Non-Federal Agency,City of Indianola,Indianola,MS,17 Nov 19 18:59 EST,"Error: x509: certificate is valid for *.exceedtech.net, exceedtech.net, not indianolams.gov"
INDIANPOINT-MO.GOV,Non-Federal Agency,Village of Indian Point,Branson,MO,22 Oct 19 08:00 EDT,Expires 8 months from now (22 Oct 19)
INDY.GOV,Non-Federal Agency,City of Indianapolis - Marion County,Indianapolis,IN,12 Dec 19 07:00 EST,Error: x509: certificate signed by unknown authority
INEL.GOV,Department of Energy,Idaho National Laboratory,Idaho Falls,ID,,dial tcp: lookup inel.gov: no such host
INFO.GOV,General Services Administration,Federal Citizen Information Center/OCSC,Washington,DC,04 Mar 19 17:44 EST,Expires 2 weeks from now (04 Mar 19)
INGLESIDETX.GOV,Non-Federal Agency,City of Ingleside,Ingleside,TX,03 Mar 19 12:17 EST,Expires 2 weeks from now (03 Mar 19)
INL.GOV,Department of Energy,Idaho National Laboratory,Idaho Falls,ID,04 Mar 21 13:57 EST,Expires 2 years from now (04 Mar 21)
INNOCENCECOMMISSION-NC.GOV,Non-Federal Agency,The North Carolina Innocence Inquiry Commission,Raleigh,NC,,remote error: tls: handshake failure
INNOVATION.GOV,General Services Administration,General Services Administration,Washington,DC,15 Apr 19 15:31 EDT,Expires 1 month from now (15 Apr 19)
INSPIRE2SERVE.GOV,"National Commission on Military, National, and Public Service","National Commission on Military, National, and Public Service",Arlington,VA,28 Apr 19 04:00 EDT,Expires 2 months from now (28 Apr 19)
INSUREKIDSNOW.GOV,Department of Health and Human Services,Centers for Medicare & Medicaid Services,Baltimore,MD,06 Oct 19 08:00 EDT,Expires 7 months from now (06 Oct 19)
INTEGRATEAZ.GOV,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,,dial tcp: lookup integrateaz.gov: no such host
INTEGRITY.GOV,Office of Government Ethics,Office of Government Ethics,Washington,DC,23 Jan 20 15:33 EST,Expires 11 months from now (23 Jan 20)
INTEL.GOV,Director of National Intelligence,Office of the Director of National Intelligence,McLean,VA,03 Oct 19 08:00 EDT,Expires 7 months from now (03 Oct 19)
INTELINK.GOV,Director of National Intelligence,Office of Director of National Intelligence - CIO (ICES),Fort Meade,MD,,dial tcp: lookup intelink.gov: no such host
INTELLIGENCE.GOV,Director of National Intelligence,Office of Director of National Intelligence - Public Affairs Office,Washington,DC,03 Oct 19 08:00 EDT,Expires 7 months from now (03 Oct 19)
INTELLIGENCECAREERS.GOV,National Security Agency,National Security Agency,Fort Meade,MD,20 Dec 19 05:04 EST,"Error: x509: certificate is valid for *.yo-digital.com, yo-digital.com, not intelligencecareers.gov"
INTERIOR.GOV,Department of the Interior,National Business Center,Washington,DC,06 Jun 19 08:00 EDT,Expires 3 months from now (06 Jun 19)
INTERLACHEN-FL.GOV,Non-Federal Agency,City of Interlachen,Interlachen,FL,16 Apr 19 16:31 EDT,Expires 1 month from now (16 Apr 19)
INTERPOL.GOV,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",Potomac,MD,21 Jun 20 13:05 EDT,Expires 1 year from now (21 Jun 20)
INVASIVESPECIES.GOV,Department of the Interior,Department of the Interior,Washington,DC,04 Sep 20 08:00 EDT,Expires 2 years from now (04 Sep 20)
INVASIVESPECIESINFO.GOV,U.S. Department of Agriculture,USDA/ARS/NAL,Beltsville,MD,12 Mar 19 10:00 EDT,Expires 3 weeks from now (12 Mar 19)
INVERNESS-FL.GOV,Non-Federal Agency,City of Inverness,Inverness,FL,08 Oct 19 19:59 EDT,Expires 7 months from now (08 Oct 19)
INVERNESS-IL.GOV,Non-Federal Agency,Village of Inverness,Inverness,IL,20 Jun 19 13:08 EDT,Expires 4 months from now (20 Jun 19)
INVESTINIOWA.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,27 Jun 19 12:28 EDT,"Error: x509: certificate is valid for *.globalreach.com, globalreach.com, not investiniowa.gov"
INVESTOR.GOV,Securities and Exchange Commission,Securities and Exchange Commission,Washington,DC,15 Nov 20 07:00 EST,Expires 2 years from now (15 Nov 20)
IOSS.GOV,Department of Defense,Interagency OPSEC Support Staff,Greenbelt,MD,,dial tcp: lookup ioss.gov: no such host
IOWA.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,Expires 1 month from now (21 Mar 19)
IOWAAGING.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,28 Mar 19 11:52 EDT,Expires 1 month from now (28 Mar 19)
IOWAAGRICULTURE.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,17 Oct 19 15:02 EDT,Expires 8 months from now (17 Oct 19)
IOWAATTORNEYGENERAL.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,27 Jun 19 12:28 EDT,"Error: x509: certificate is valid for *.globalreach.com, globalreach.com, not iowaattorneygeneral.gov"
IOWABOILERS.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowaboilers.gov"
IOWACAREERCOACH.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,01 Oct 19 19:59 EDT,Expires 7 months from now (01 Oct 19)
IOWACHILDLABOR.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowachildlabor.gov"
IOWACHILDSUPPORT.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,15 Aug 19 17:17 EDT,"Error: x509: certificate is valid for *.dhs.state.ia.us, dhs.state.ia.us, not iowachildsupport.gov"
IOWACLEANAIR.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,"Error: x509: certificate is valid for *.iowa.gov, iowa.gov, not iowacleanair.gov"
IOWACOLLEGEAID.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,01 Dec 19 18:06 EST,Expires 9 months from now (01 Dec 19)
IOWACOLLEGEAIDDATACENTER.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,"Error: x509: certificate is valid for *.iowa.gov, iowa.gov, not iowacollegeaiddatacenter.gov"
IOWACONTRACTOR.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowacontractor.gov"
IOWACORE.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,09 Aug 20 14:16 EDT,Expires 2 years from now (09 Aug 20)
IOWACOURTS.GOV,Non-Federal Agency,Iowa Judicial Branch,Des Moines,IA,15 Apr 19 06:43 EDT,Expires 1 month from now (15 Apr 19)
IOWACULTURE.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,22 Feb 20 10:25 EST,Expires 1 year from now (22 Feb 20)
IOWADIVISIONOFLABOR.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowadivisionoflabor.gov"
IOWADNR.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,28 Feb 19 10:57 EST,Expires 1 week from now (28 Feb 19)
IOWADOT.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,20 Sep 20 17:28 EDT,Expires 2 years from now (20 Sep 20)
IOWAELECTRICAL.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,19 Dec 19 10:20 EST,Expires 10 months from now (19 Dec 19)
IOWAELEVATORS.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowaelevators.gov"
IOWAFINANCEAUTHORITY.GOV,Non-Federal Agency,Iowa Finance Authority,Des Moines,IA,27 Jun 20 11:42 EDT,"Error: x509: certificate is valid for iowafinanceauthority.iowa.gov, www.iowafinanceauthority.iowa.gov, not iowafinanceauthority.gov"
IOWAFORMS.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,12 Jul 19 11:53 EDT,Expires 4 months from now (12 Jul 19)
IOWAFRAUDFIGHTERS.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,05 May 19 04:26 EDT,Expires 2 months from now (05 May 19)
IOWAGRANTS.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,30 Jan 20 10:09 EST,Expires 11 months from now (30 Jan 20)
IOWAGREATPLACES.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,21 Mar 19 16:23 EDT,"Error: x509: certificate is valid for *.iowa.gov, iowa.gov, not iowagreatplaces.gov"
IOWAJNC.GOV,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,08 May 19 03:28 EDT,Expires 2 months from now (08 May 19)
IOWAJQC.GOV,Non-Federal Agency,Iowa Judicial Branch,Des Moines,IA,22 Mar 19 12:48 EDT,"Error: x509: certificate is valid for plesk1.globalreach.com, not iowajqc.gov"
IOWALABOR.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowalabor.gov"
IOWALIFT.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,27 Jun 19 12:28 EDT,"Error: x509: certificate is valid for *.globalreach.com, globalreach.com, not iowalift.gov"
IOWALMI.GOV,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,01 Sep 19 14:34 EDT,"Error: x509: certificate is valid for www.iowaworkforcedevelopment.gov, iowaworkforcedevelopment.gov, www.iowaworkcomp.gov, highschools.iowaworkforcedevelopment.gov, www.iowadivisionoflabor.gov, skills.iowaworkforcedevelopment.gov, www.iowawage.gov, www.iowalmi.gov, www.iowalabor.gov, www.iowachildlabor.gov, www.iowacontractor.gov, www.iowaosha.gov, va.iowaworkforcedevelopment.gov, www.iowaelevators.gov, contactmanagement.iowaworkforcedevelopment.gov, amusementrides.iowa.gov, www.skillediowa.org, iadol.iowaworkforcedevelopment.gov, www.iowaboilers.gov, virtualaccess.iowaworkforcedevelopment.gov, skillediowa.iowaworkforcedevelopment.gov, not iowalmi.gov"
